timestamp_utc,elapsed_sec,rpc_ok,server_time,p2p_id,server_version,is_utxo_indexed,is_synced,info_mempool_size,borsh_live_connections,borsh_connection_attempts,borsh_handshake_failures,json_live_connections,json_connection_attempts,json_handshake_failures,active_peers,borsh_bytes_tx,borsh_bytes_rx,json_bytes_tx,json_bytes_rx,p2p_bytes_tx,p2p_bytes_rx,grpc_bytes_tx,grpc_bytes_rx,node_blocks_submitted_count,node_headers_processed_count,node_dependencies_processed_count,node_bodies_processed_count,node_transactions_processed_count,node_chain_blocks_processed_count,node_mass_processed_count,node_database_blocks_count,node_database_headers_count,network_mempool_size,network_tip_hashes_count,network_difficulty,network_past_median_time,network_virtual_parent_hashes_count,network_virtual_daa_score,error
2026-04-22T01:34:42Z,0.000,1,1776821681984,68419e24-4a93-4ed6-9325-0869776c6bc1,1.1.0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1474824087,8363222976,718406,223251,1052826,1047967,1251944,1047967,24502767,966913,38652084905,1047967,1047967,0,6,106559.9767650342,1776821530285,6,1047967,
2026-04-22T01:34:43Z,2.711,1,1776821683558,68419e24-4a93-4ed6-9325-0869776c6bc1,1.1.0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1474828419,8363252380,718701,223341,1052858,1047999,1252017,1047999,24502799,966933,38652084905,1047999,1047999,0,1,106559.9767650342,1776821530285,1,1047999,
2026-04-22T01:34:45Z,4.286,1,1776821685135,68419e24-4a93-4ed6-9325-0869776c6bc1,1.1.0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1474833161,8363284647,718995,223430,1052893,1048034,1252081,1048034,24502834,966955,38652084905,1048034,1048034,0,1,106540.81267212772,1776821541414,1,1048034,
2026-04-22T01:34:46Z,5.864,1,1776821686717,68419e24-4a93-4ed6-9325-0869776c6bc1,1.1.0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1474838437,8363320950,719290,223519,1052932,1048073,1252138,1048073,24502873,966981,38652084905,1048073,1048073,0,2,106540.81267212772,1776821541414,2,1048073,
2026-04-22T01:34:48Z,7.444,1,1776821688294,68419e24-4a93-4ed6-9325-0869776c6bc1,1.1.0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1474841954,8363345743,719583,223608,1052958,1048099,1252198,1048099,24502899,966992,38652084905,1048099,1048099,0,4,106589.72780363889,1776821541414,4,1048099,
2026-04-22T01:34:50Z,9.028,1,1776821689875,68419e24-4a93-4ed6-9325-0869776c6bc1,1.1.0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1474847642,8363386788,719878,223697,1053000,1048141,1252293,1048141,24502941,967016,38652084905,1048141,1048141,0,2,106589.72780363889,1776821541414,2,1048141,
2026-04-22T01:34:51Z,10.603,1,1776821691449,68419e24-4a93-4ed6-9325-0869776c6bc1,1.1.0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1474851029,8363410321,720171,223785,1053025,1048166,1252328,1048166,24502966,967035,38652084905,1048166,1048166,0,1,106555.01987319748,1776821541414,1,1048166,
2026-04-22T01:34:53Z,12.177,1,1776821693022,68419e24-4a93-4ed6-9325-0869776c6bc1,1.1.0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1474855631,8363442052,720464,223874,1053059,1048200,1252378,1048200,24503000,967059,38652084905,1048199,1048199,0,1,106555.01987319748,1776821541414,1,1048199,
2026-04-22T01:34:54Z,13.750,1,1776821694598,68419e24-4a93-4ed6-9325-0869776c6bc1,1.1.0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1474861587,8363482699,720759,223964,1053103,1048244,1252456,1048244,24503044,967085,38652084905,1048244,1048244,0,2,106571.21409411936,1776821553081,2,1048244,
2026-04-22T01:34:56Z,15.326,1,1776821696167,68419e24-4a93-4ed6-9325-0869776c6bc1,1.1.0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1474866324,8363515951,721053,224052,1053138,1048279,1252518,1048279,24503079,967101,38652084905,1048279,1048279,0,3,106571.21409411936,1776821553081,3,1048279,
