timestamp_utc,event_type,notes
2026-04-04T20:40:22.562+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-04T20:40:22.562+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-04T21:13:40.405+00:00,pruning_end,auto: detected pruning UTXO update in kaspad log
2026-04-04T21:28:22.261+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-04T21:28:23.064+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-04T21:49:57.007+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-04T21:49:57.007+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-04T21:58:20Z,synced_start,auto: detected node becoming synced from RPC samples
2026-04-04T21:58:21Z,synced_end,auto: detected node leaving synced state from RPC samples
2026-04-04T21:58:26Z,synced_start,auto: detected node becoming synced from RPC samples
2026-04-04T21:58:31Z,synced_end,auto: detected node leaving synced state from RPC samples
2026-04-04T21:58:54Z,synced_start,auto: detected node becoming synced from RPC samples
2026-04-04T21:59:50.010+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-04T21:59:50.011+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-04T22:04:37.209+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-04T22:04:37.209+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-04T22:07:08.685+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-04T22:07:08.685+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-04T22:08:15.301+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-04T22:44:04.654+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-04T22:47:09.618+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-04T22:47:09.618+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-04T22:48:42.123+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-04T22:48:42.123+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-04T22:49:39.282+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-05T00:43:35.498+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-05T00:44:55.076+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-05T00:44:55.076+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-05T00:45:12.274+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-05T05:29:05.507+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-05T05:30:06.278+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-05T05:30:06.278+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-05T05:31:00.746+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-05T06:31:51.305+00:00,pruning_start,auto: detected pruning movement in kaspad log
2026-04-05T06:50:20.064+00:00,pruning_end,auto: detected pruning UTXO update in kaspad log
2026-04-05T07:16:15Z,synced_end,auto: detected node leaving synced state from RPC samples
2026-04-05T07:23:05.818+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-05T07:28:15Z,synced_start,auto: detected node becoming synced from RPC samples
2026-04-05T07:28:17Z,synced_end,auto: detected node leaving synced state from RPC samples
2026-04-05T07:28:23Z,synced_start,auto: detected node becoming synced from RPC samples
2026-04-05T07:28:28Z,synced_end,auto: detected node leaving synced state from RPC samples
2026-04-05T07:28:34Z,synced_start,auto: detected node becoming synced from RPC samples
2026-04-05T07:28:39Z,synced_end,auto: detected node leaving synced state from RPC samples
2026-04-05T07:28:42Z,synced_start,auto: detected node becoming synced from RPC samples
2026-04-05T07:30:25.518+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-05T07:30:25.518+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-05T07:34:05.735+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-05T07:34:05.735+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-05T07:35:59.129+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-05T10:01:06.184+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-05T10:02:25.237+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-05T10:02:25.237+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-05T10:02:59.891+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-05T13:13:21.370+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-05T13:13:30.432+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-05T13:17:37.689+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-05T13:19:34.139+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-05T13:19:34.139+00:00,ibd_start,auto: detected IBD start in kaspad log
2026-04-05T13:20:27.591+00:00,ibd_end,auto: detected IBD completion in kaspad log
2026-04-05T18:33:08.536+00:00,pruning_start,auto: detected pruning movement in kaspad log
2026-04-05T18:50:52.460+00:00,pruning_end,auto: detected pruning UTXO update in kaspad log
2026-04-05T19:01:59Z,synced_end,auto: detected node leaving synced state from RPC samples
